words,"",2015,2016,ahead,amid,back,bad,bank,better,big,boost,brexit,budget,business,central,china,chinas,chinese,crisis,data,despite,digital,economic,economy,economys,eu,expected,fed,feds,first,focus,fuel,gdp,german,gig,global,good,government,grew,grow,growing,grows,growth,help,hit,imf,impact,india,indian,japan,japans,jobs,local,low,market,markets,may,minister,new,obama,oil,outlook,pct,percent,plan,policy,president,prices,quarter,rate,rates,recession,report,risks,russian,saudi,says,sees,sharing,shows,signs,slowing,slows,south,spending,state,still,stocks,strong,tax,top,trade,trump,uk,us,warns,weak,world,year,years
rate,216,135.0,91.0,14.0,20.0,41.0,5.0,165.0,13.0,11.0,25.0,4.0,4.0,24.0,106.0,36.0,90.0,19.0,21.0,116.0,43.0,4.0,234,1018,44.0,5.0,105.0,71.0,24.0,162.0,2.0,3.0,53.0,19.0,0.0,95,35.0,58.0,231.0,67.0,60.0,4.0,413,11.0,17.0,2.0,31.0,26.0,17.0,10.0,23.0,113.0,13.0,69.0,58.0,23.0,59.0,38.0,109.0,3.0,46.0,17.0,5.0,334.0,4.0,57.0,29.0,61.0,273.0,0.0,67.0,23.0,47.0,9.0,10.0,11.0,42,4.0,1.0,6.0,23.0,30.0,1.0,19.0,80.0,30.0,44.0,12.0,53.0,9.0,8.0,11.0,0.0,22.0,352,1.0,29.0,28,185.0,108.0
rates,91,30.0,22.0,4.0,5.0,14.0,1.0,120.0,4.0,10.0,13.0,3.0,2.0,15.0,82.0,27.0,19.0,9.0,21.0,34.0,14.0,0.0,117,497,11.0,5.0,25.0,56.0,8.0,49.0,4.0,1.0,9.0,0.0,0.0,74,12.0,18.0,21.0,4.0,15.0,2.0,125,21.0,6.0,14.0,17.0,8.0,1.0,18.0,18.0,40.0,3.0,63.0,41.0,26.0,51.0,17.0,44.0,1.0,22.0,15.0,0.0,36.0,9.0,42.0,15.0,26.0,33.0,67.0,0.0,14.0,30.0,8.0,3.0,2.0,24,5.0,0.0,6.0,20.0,13.0,3.0,7.0,8.0,8.0,26.0,17.0,29.0,5.0,10.0,4.0,1.0,10.0,188,2.0,21.0,33,63.0,46.0
recession,80,49.0,46.0,2.0,8.0,50.0,3.0,43.0,6.0,14.0,6.0,7.0,6.0,20.0,33.0,16.0,18.0,9.0,44.0,66.0,13.0,0.0,145,634,9.0,13.0,45.0,4.0,3.0,57.0,2.0,1.0,33.0,1.0,0.0,106,4.0,50.0,25.0,13.0,22.0,0.0,99,2.0,14.0,12.0,4.0,7.0,3.0,16.0,47.0,20.0,6.0,17.0,32.0,25.0,23.0,29.0,41.0,7.0,36.0,17.0,0.0,79.0,0.0,7.0,27.0,34.0,121.0,23.0,14.0,0.0,20.0,3.0,21.0,0.0,19,0.0,0.0,12.0,14.0,13.0,1.0,22.0,13.0,11.0,31.0,5.0,6.0,6.0,7.0,5.0,4.0,31.0,125,3.0,15.0,38,128.0,80.0
report,132,78.0,84.0,15.0,7.0,14.0,7.0,75.0,14.0,8.0,16.0,17.0,7.0,55.0,24.0,24.0,21.0,8.0,12.0,40.0,21.0,18.0,297,771,17.0,9.0,52.0,20.0,4.0,53.0,6.0,11.0,43.0,16.0,7.0,95,20.0,57.0,34.0,48.0,24.0,3.0,159,10.0,9.0,16.0,43.0,22.0,10.0,4.0,7.0,152.0,12.0,22.0,59.0,18.0,60.0,16.0,260.0,10.0,31.0,40.0,0.0,81.0,2.0,28.0,26.0,25.0,40.0,47.0,30.0,20.0,0.0,12.0,1.0,5.0,85,0.0,23.0,45.0,16.0,19.0,2.0,10.0,26.0,46.0,25.0,7.0,24.0,10.0,16.0,16.0,3.0,42.0,166,7.0,29.0,64,144.0,60.0
risks,49,16.0,19.0,8.0,3.0,2.0,6.0,43.0,1.0,5.0,0.0,27.0,5.0,12.0,18.0,30.0,18.0,17.0,5.0,11.0,7.0,1.0,101,278,2.0,15.0,14.0,12.0,5.0,5.0,6.0,1.0,4.0,1.0,0.0,111,6.0,8.0,20.0,5.0,7.0,0.0,74,5.0,1.0,16.0,10.0,1.0,1.0,7.0,7.0,6.0,2.0,6.0,23.0,31.0,17.0,7.0,16.0,1.0,13.0,43.0,3.0,19.0,3.0,24.0,11.0,21.0,7.0,9.0,8.0,3.0,12.0,0.0,1.0,0.0,11,7.0,0.0,2.0,11.0,9.0,4.0,6.0,4.0,5.0,8.0,2.0,3.0,3.0,19.0,12.0,2.0,14.0,57,5.0,8.0,35,33.0,14.0
russian,39,11.0,23.0,0.0,3.0,3.0,3.0,23.0,2.0,1.0,1.0,4.0,5.0,2.0,13.0,2.0,0.0,0.0,14.0,3.0,4.0,0.0,104,216,0.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,9.0,4.0,0.0,9,0.0,31.0,0.0,5.0,1.0,0.0,28,6.0,6.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,2.0,21.0,83.0,6.0,0.0,41.0,3.0,0.0,19.0,14.0,2.0,45.0,24.0,12.0,10.0,3.0,21.0,1.0,1.0,0.0,2.0,3,2.0,0.0,1.0,2.0,0.0,0.0,0.0,3.0,13.0,8.0,0.0,0.0,0.0,2.0,7.0,0.0,2.0,6,0.0,0.0,8,34.0,12.0
saudi,33,3.0,11.0,3.0,2.0,4.0,0.0,5.0,1.0,2.0,3.0,0.0,7.0,3.0,2.0,2.0,2.0,2.0,3.0,11.0,1.0,2.0,51,140,1.0,0.0,8.0,0.0,0.0,10.0,0.0,2.0,3.0,0.0,0.0,10,2.0,30.0,6.0,0.0,2.0,0.0,13,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,22.0,7.0,3.0,6.0,10.0,13.0,3.0,90.0,1.0,0.0,13.0,21.0,5.0,2.0,47.0,8.0,11.0,2.0,0.0,5.0,0.0,2.0,0.0,2,0.0,0.0,1.0,2.0,3.0,0.0,1.0,14.0,10.0,2.0,1.0,3.0,0.0,6.0,3.0,0.0,0.0,10,0.0,1.0,3,22.0,13.0
says,196,62.0,59.0,8.0,2.0,17.0,12.0,94.0,29.0,8.0,28.0,13.0,20.0,67.0,41.0,24.0,30.0,17.0,10.0,18.0,36.0,10.0,196,819,11.0,13.0,26.0,14.0,8.0,25.0,14.0,9.0,12.0,4.0,4.0,83,23.0,95.0,36.0,31.0,39.0,1.0,122,24.0,13.0,15.0,15.0,24.0,16.0,16.0,5.0,40.0,8.0,20.0,29.0,31.0,27.0,73.0,129.0,12.0,24.0,25.0,2.0,51.0,9.0,21.0,67.0,29.0,42.0,42.0,24.0,19.0,85.0,11.0,3.0,2.0,0,4.0,19.0,20.0,15.0,16.0,6.0,35.0,20.0,29.0,27.0,1.0,20.0,25.0,24.0,20.0,12.0,17.0,93,7.0,11.0,35,91.0,42.0
sees,10,2.0,3.0,3.0,0.0,0.0,0.0,14.0,0.0,2.0,1.0,1.0,1.0,4.0,4.0,2.0,4.0,2.0,5.0,0.0,0.0,1.0,19,63,0.0,4.0,0.0,3.0,1.0,3.0,0.0,1.0,0.0,2.0,0.0,13,1.0,4.0,2.0,1.0,2.0,0.0,10,0.0,0.0,6.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,1.0,2.0,3.0,4.0,0.0,1.0,7.0,0.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,5.0,0.0,0.0,7.0,2.0,0.0,4,0.0,1.0,0.0,4.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,4.0,3.0,15,0.0,0.0,3,7.0,3.0
sharing,64,22.0,8.0,0.0,1.0,11.0,0.0,2.0,2.0,11.0,0.0,0.0,4.0,39.0,1.0,8.0,2.0,1.0,0.0,8.0,2.0,18.0,10,434,3.0,3.0,8.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,35.0,6,8.0,11.0,1.0,8.0,15.0,4.0,18,13.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0,4.0,2.0,10.0,5.0,11.0,1.0,78.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,23.0,0.0,0.0,0.0,19,1.0,0.0,4.0,0.0,0.0,0.0,2.0,5.0,3.0,4.0,0.0,0.0,14.0,1.0,2.0,1.0,4.0,13,0.0,0.0,4,12.0,24.0
shows,43,14.0,16.0,0.0,2.0,3.0,1.0,8.0,6.0,7.0,6.0,1.0,7.0,21.0,4.0,1.0,7.0,2.0,5.0,39.0,6.0,1.0,88,181,2.0,6.0,4.0,1.0,0.0,21.0,1.0,2.0,7.0,1.0,3.0,12,1.0,12.0,9.0,3.0,5.0,0.0,25,1.0,4.0,1.0,6.0,2.0,0.0,1.0,2.0,10.0,2.0,3.0,11.0,1.0,7.0,5.0,52.0,0.0,7.0,3.0,0.0,15.0,0.0,7.0,4.0,8.0,20.0,6.0,6.0,12.0,45.0,2.0,1.0,1.0,20,0.0,4.0,0.0,14.0,3.0,0.0,5.0,4.0,11.0,10.0,7.0,6.0,1.0,6.0,2.0,4.0,13.0,33,0.0,1.0,4,13.0,12.0
signs,80,19.0,46.0,3.0,19.0,4.0,6.0,21.0,11.0,2.0,0.0,7.0,6.0,13.0,16.0,31.0,78.0,28.0,12.0,33.0,25.0,0.0,110,358,2.0,2.0,13.0,10.0,3.0,66.0,0.0,0.0,5.0,1.0,0.0,41,7.0,35.0,26.0,6.0,7.0,0.0,89,4.0,7.0,0.0,10.0,2.0,5.0,1.0,1.0,19.0,5.0,14.0,39.0,38.0,36.0,5.0,28.0,2.0,18.0,6.0,0.0,26.0,0.0,7.0,3.0,12.0,78.0,23.0,20.0,14.0,16.0,11.0,2.0,2.0,15,4.0,0.0,14.0,0.0,18.0,0.0,9.0,17.0,18.0,24.0,13.0,15.0,0.0,16.0,10.0,0.0,3.0,90,0.0,4.0,23,64.0,35.0
slowing,89,20.0,23.0,26.0,14.0,14.0,1.0,24.0,11.0,4.0,16.0,7.0,5.0,20.0,18.0,82.0,120.0,81.0,4.0,23.0,56.0,0.0,112,484,2.0,1.0,26.0,2.0,1.0,22.0,3.0,4.0,7.0,6.0,0.0,109,9.0,25.0,25.0,4.0,15.0,0.0,198,9.0,4.0,8.0,22.0,9.0,5.0,4.0,2.0,18.0,2.0,16.0,35.0,55.0,36.0,14.0,37.0,0.0,28.0,7.0,0.0,50.0,15.0,8.0,15.0,29.0,29.0,30.0,13.0,13.0,19.0,9.0,0.0,3.0,16,2.0,0.0,3.0,18.0,0.0,0.0,2.0,13.0,6.0,15.0,18.0,11.0,4.0,6.0,17.0,5.0,7.0,78,0.0,4.0,53,66.0,22.0
slows,8,2.0,4.0,0.0,0.0,5.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,4.0,15.0,4.0,0.0,1.0,0.0,0.0,10,48,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8,0.0,4.0,2.0,1.0,2.0,0.0,16,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,1.0,4.0,2.0,1.0,3.0,1.0,2.0,4.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3,0.0,0.0,4,4.0,1.0
south,131,34.0,28.0,12.0,4.0,9.0,4.0,42.0,3.0,12.0,6.0,2.0,5.0,16.0,16.0,12.0,11.0,5.0,8.0,34.0,11.0,1.0,122,397,1.0,1.0,25.0,1.0,0.0,40.0,5.0,3.0,10.0,1.0,0.0,38,5.0,27.0,28.0,15.0,17.0,0.0,71,7.0,6.0,2.0,6.0,12.0,2.0,4.0,0.0,18.0,10.0,19.0,4.0,6.0,16.0,37.0,40.0,0.0,9.0,12.0,0.0,62.0,3.0,11.0,30.0,10.0,40.0,19.0,7.0,22.0,10.0,6.0,0.0,1.0,35,1.0,2.0,5.0,9.0,2.0,0.0,0.0,3.0,13.0,11.0,5.0,6.0,3.0,9.0,3.0,4.0,2.0,13,1.0,8.0,16,66.0,22.0
spending,130,70.0,42.0,12.0,22.0,42.0,9.0,30.0,11.0,8.0,48.0,0.0,24.0,71.0,13.0,27.0,23.0,3.0,7.0,76.0,26.0,0.0,171,613,14.0,2.0,69.0,6.0,5.0,122.0,3.0,3.0,22.0,17.0,1.0,49,15.0,134.0,123.0,36.0,20.0,3.0,205,25.0,13.0,0.0,13.0,6.0,2.0,7.0,44.0,15.0,11.0,24.0,42.0,11.0,38.0,31.0,55.0,1.0,39.0,18.0,3.0,111.0,9.0,13.0,11.0,41.0,245.0,80.0,8.0,13.0,26.0,4.0,3.0,14.0,20,3.0,5.0,4.0,17.0,13.0,1.0,3.0,0.0,17.0,16.0,4.0,52.0,15.0,8.0,25.0,0.0,14.0,171,0.0,43.0,17,142.0,56.0
state,153,28.0,42.0,16.0,15.0,12.0,8.0,42.0,14.0,12.0,14.0,7.0,23.0,41.0,19.0,20.0,47.0,19.0,19.0,23.0,13.0,2.0,237,771,5.0,8.0,26.0,12.0,1.0,38.0,7.0,3.0,14.0,8.0,7.0,66,17.0,57.0,20.0,17.0,26.0,1.0,76,8.0,11.0,6.0,30.0,13.0,8.0,2.0,3.0,26.0,33.0,6.0,42.0,21.0,18.0,45.0,82.0,53.0,38.0,21.0,0.0,58.0,12.0,22.0,124.0,17.0,38.0,30.0,8.0,11.0,46.0,5.0,13.0,10.0,29,1.0,3.0,11.0,18.0,6.0,1.0,13.0,17.0,0.0,22.0,4.0,30.0,17.0,16.0,18.0,1.0,9.0,102,0.0,13.0,52,82.0,34.0
still,102,32.0,40.0,3.0,3.0,23.0,7.0,34.0,21.0,10.0,5.0,4.0,4.0,18.0,21.0,37.0,73.0,14.0,36.0,33.0,48.0,1.0,136,535,3.0,6.0,26.0,14.0,3.0,39.0,5.0,4.0,14.0,4.0,2.0,73,26.0,21.0,21.0,10.0,35.0,0.0,111,11.0,7.0,6.0,12.0,13.0,12.0,3.0,7.0,37.0,8.0,24.0,52.0,15.0,54.0,25.0,41.0,4.0,29.0,13.0,0.0,42.0,6.0,17.0,17.0,26.0,55.0,44.0,26.0,31.0,25.0,8.0,8.0,2.0,27,2.0,4.0,10.0,24.0,15.0,1.0,11.0,16.0,22.0,0.0,5.0,27.0,3.0,12.0,11.0,5.0,9.0,89,1.0,16.0,48,79.0,45.0
stocks,39,7.0,17.0,9.0,25.0,4.0,2.0,13.0,0.0,6.0,2.0,0.0,0.0,1.0,6.0,35.0,33.0,24.0,4.0,30.0,6.0,0.0,48,191,3.0,2.0,10.0,8.0,2.0,14.0,4.0,1.0,0.0,1.0,0.0,70,5.0,5.0,7.0,2.0,9.0,0.0,32,5.0,6.0,0.0,3.0,0.0,0.0,5.0,1.0,5.0,3.0,5.0,22.0,33.0,15.0,1.0,25.0,0.0,26.0,2.0,0.0,21.0,0.0,15.0,5.0,20.0,7.0,12.0,17.0,5.0,7.0,2.0,0.0,1.0,1,0.0,0.0,7.0,13.0,18.0,1.0,5.0,4.0,4.0,5.0,0.0,7.0,0.0,2.0,1.0,1.0,2.0,105,1.0,14.0,24,31.0,4.0
strong,92,52.0,34.0,4.0,10.0,22.0,1.0,33.0,6.0,7.0,21.0,4.0,12.0,33.0,19.0,11.0,19.0,7.0,2.0,55.0,45.0,1.0,151,554,4.0,7.0,23.0,13.0,8.0,73.0,9.0,4.0,15.0,5.0,0.0,71,20.0,21.0,49.0,10.0,27.0,2.0,170,7.0,6.0,1.0,13.0,12.0,8.0,6.0,12.0,51.0,4.0,15.0,42.0,14.0,34.0,23.0,59.0,9.0,30.0,9.0,0.0,64.0,3.0,10.0,27.0,38.0,98.0,53.0,29.0,6.0,24.0,3.0,0.0,3.0,20,1.0,0.0,6.0,15.0,11.0,2.0,6.0,52.0,30.0,27.0,7.0,0.0,4.0,3.0,8.0,3.0,12.0,190,0.0,19.0,25,88.0,46.0
tax,56,6.0,10.0,3.0,2.0,5.0,6.0,8.0,7.0,3.0,26.0,1.0,14.0,14.0,1.0,5.0,5.0,0.0,0.0,9.0,4.0,3.0,79,194,3.0,2.0,14.0,0.0,0.0,12.0,5.0,0.0,1.0,0.0,6.0,15,3.0,44.0,4.0,7.0,6.0,1.0,38,14.0,3.0,2.0,5.0,6.0,0.0,7.0,12.0,11.0,6.0,4.0,2.0,1.0,10.0,42.0,34.0,3.0,18.0,2.0,0.0,11.0,15.0,5.0,9.0,10.0,10.0,9.0,5.0,6.0,10.0,3.0,0.0,0.0,25,0.0,14.0,1.0,0.0,4.0,0.0,3.0,15.0,17.0,3.0,0.0,4.0,0.0,5.0,4.0,5.0,8.0,22,0.0,9.0,12,33.0,12.0
top,108,20.0,20.0,10.0,12.0,10.0,1.0,24.0,3.0,1.0,10.0,3.0,9.0,16.0,29.0,32.0,68.0,24.0,4.0,7.0,21.0,6.0,170,342,7.0,3.0,12.0,7.0,0.0,11.0,8.0,9.0,12.0,7.0,1.0,46,13.0,52.0,7.0,17.0,6.0,0.0,59,2.0,1.0,3.0,7.0,8.0,7.0,4.0,6.0,27.0,9.0,5.0,28.0,17.0,16.0,18.0,50.0,3.0,17.0,12.0,0.0,39.0,9.0,21.0,36.0,7.0,12.0,8.0,10.0,7.0,16.0,19.0,2.0,6.0,24,0.0,1.0,6.0,16.0,6.0,0.0,9.0,8.0,16.0,12.0,2.0,3.0,5.0,0.0,16.0,4.0,6.0,43,0.0,9.0,34,59.0,24.0
trade,73,31.0,12.0,12.0,12.0,5.0,10.0,6.0,13.0,6.0,15.0,10.0,2.0,28.0,6.0,50.0,27.0,20.0,9.0,40.0,14.0,1.0,193,389,17.0,24.0,24.0,0.0,0.0,45.0,3.0,1.0,12.0,18.0,0.0,92,5.0,24.0,42.0,12.0,8.0,0.0,92,11.0,3.0,8.0,14.0,4.0,7.0,5.0,5.0,13.0,1.0,13.0,30.0,12.0,24.0,56.0,27.0,5.0,11.0,8.0,0.0,38.0,5.0,8.0,8.0,14.0,47.0,11.0,4.0,5.0,16.0,12.0,7.0,3.0,20,4.0,2.0,2.0,10.0,17.0,0.0,3.0,25.0,18.0,11.0,1.0,8.0,4.0,16.0,0.0,13.0,23.0,65,5.0,13.0,57,51.0,15.0
trump,31,0.0,4.0,1.0,0.0,8.0,3.0,1.0,12.0,5.0,1.0,2.0,0.0,11.0,1.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,61,164,1.0,1.0,1.0,1.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,13,1.0,5.0,1.0,0.0,1.0,0.0,5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,15.0,0.0,2.0,2.0,5.0,9.0,6.0,20.0,6.0,0.0,2.0,0.0,5.0,9.0,4.0,17.0,1.0,0.0,0.0,1.0,4.0,3.0,2.0,0.0,0.0,12,4.0,1.0,4.0,0.0,5.0,0.0,4.0,0.0,1.0,5.0,1.0,3.0,5.0,4.0,13.0,0.0,0.0,55,2.0,0.0,5,6.0,3.0
uk,70,47.0,18.0,12.0,15.0,14.0,9.0,46.0,4.0,10.0,17.0,64.0,9.0,28.0,3.0,5.0,1.0,2.0,11.0,31.0,15.0,14.0,104,555,8.0,112.0,30.0,4.0,0.0,31.0,2.0,2.0,33.0,4.0,1.0,77,4.0,26.0,49.0,19.0,11.0,1.0,101,7.0,11.0,10.0,21.0,2.0,0.0,3.0,0.0,17.0,0.0,11.0,19.0,15.0,20.0,23.0,45.0,1.0,8.0,23.0,0.0,8.0,2.0,7.0,4.0,11.0,49.0,22.0,10.0,31.0,42.0,14.0,2.0,0.0,17,3.0,4.0,13.0,3.0,7.0,2.0,2.0,14.0,9.0,9.0,2.0,12.0,8.0,6.0,23.0,0.0,0.0,20,2.0,3.0,27,62.0,26.0
us,498,164.0,179.0,57.0,50.0,79.0,38.0,116.0,66.0,38.0,45.0,29.0,3.0,103.0,73.0,107.0,51.0,38.0,29.0,234.0,98.0,8.0,660,2689,68.0,18.0,124.0,152.0,33.0,263.0,17.0,42.0,50.0,7.0,9.0,401,98.0,95.0,181.0,72.0,93.0,4.0,529,51.0,43.0,11.0,70.0,20.0,10.0,22.0,3.0,274.0,12.0,70.0,252.0,170.0,154.0,29.0,257.0,73.0,120.0,81.0,5.0,244.0,11.0,95.0,172.0,105.0,355.0,352.0,188.0,125.0,166.0,57.0,6.0,10.0,93,15.0,13.0,33.0,90.0,78.0,3.0,13.0,171.0,102.0,89.0,105.0,190.0,22.0,43.0,65.0,55.0,20.0,0,2.0,64.0,131,321.0,166.0
warns,6,2.0,6.0,0.0,1.0,0.0,0.0,9.0,1.0,1.0,2.0,5.0,2.0,0.0,6.0,2.0,1.0,4.0,6.0,0.0,2.0,0.0,12,33,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,17,0.0,4.0,3.0,1.0,2.0,0.0,8,5.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,2.0,3.0,7.0,1.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,7.0,5.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,2.0,2,0.0,1.0,2,2.0,1.0
weak,74,39.0,22.0,5.0,17.0,14.0,5.0,33.0,12.0,11.0,9.0,1.0,3.0,29.0,20.0,25.0,12.0,15.0,11.0,63.0,19.0,0.0,114,333,10.0,1.0,45.0,10.0,1.0,45.0,2.0,1.0,7.0,5.0,0.0,92,5.0,21.0,29.0,8.0,12.0,0.0,116,2.0,11.0,4.0,11.0,1.0,6.0,10.0,43.0,9.0,10.0,15.0,20.0,15.0,24.0,12.0,19.0,1.0,28.0,27.0,0.0,51.0,2.0,12.0,14.0,40.0,89.0,29.0,21.0,15.0,29.0,8.0,0.0,1.0,11,0.0,0.0,1.0,4.0,4.0,0.0,8.0,43.0,13.0,16.0,14.0,19.0,9.0,9.0,13.0,0.0,3.0,64,1.0,0.0,22,51.0,19.0
world,233,71.0,116.0,48.0,24.0,13.0,15.0,182.0,12.0,17.0,27.0,31.0,5.0,40.0,50.0,117.0,83.0,38.0,69.0,26.0,54.0,18.0,377,1157,5.0,35.0,37.0,7.0,2.0,33.0,8.0,6.0,17.0,10.0,7.0,341,26.0,46.0,21.0,57.0,78.0,1.0,266,22.0,38.0,44.0,22.0,84.0,30.0,38.0,2.0,21.0,10.0,43.0,61.0,131.0,58.0,64.0,122.0,10.0,75.0,53.0,1.0,110.0,2.0,49.0,45.0,70.0,28.0,28.0,33.0,38.0,64.0,35.0,8.0,3.0,35,3.0,4.0,4.0,23.0,53.0,4.0,16.0,17.0,52.0,48.0,24.0,25.0,12.0,34.0,57.0,5.0,27.0,131,2.0,22.0,0,175.0,94.0
year,518,323.0,263.0,58.0,53.0,63.0,41.0,248.0,67.0,24.0,101.0,3.0,61.0,85.0,118.0,138.0,215.0,94.0,59.0,192.0,96.0,7.0,677,2551,25.0,14.0,295.0,12.0,1.0,412.0,10.0,18.0,110.0,44.0,1.0,267,70.0,201.0,391.0,249.0,84.0,3.0,803,39.0,49.0,30.0,36.0,33.0,42.0,10.0,80.0,78.0,39.0,117.0,158.0,86.0,95.0,145.0,320.0,5.0,145.0,89.0,0.0,667.0,24.0,60.0,83.0,143.0,501.0,185.0,63.0,128.0,144.0,33.0,34.0,22.0,91,7.0,12.0,13.0,64.0,66.0,4.0,66.0,142.0,82.0,79.0,31.0,88.0,33.0,59.0,51.0,6.0,62.0,321,2.0,51.0,175,0.0,168.0
years,225,134.0,102.0,28.0,20.0,51.0,13.0,74.0,22.0,15.0,27.0,5.0,20.0,44.0,43.0,60.0,105.0,36.0,84.0,70.0,31.0,14.0,382,1214,8.0,6.0,63.0,12.0,4.0,184.0,10.0,13.0,30.0,14.0,12.0,154,30.0,102.0,159.0,63.0,57.0,1.0,357,19.0,27.0,14.0,17.0,33.0,38.0,13.0,11.0,37.0,19.0,45.0,56.0,23.0,62.0,75.0,152.0,8.0,60.0,25.0,0.0,165.0,14.0,22.0,43.0,78.0,171.0,108.0,46.0,80.0,60.0,14.0,12.0,13.0,42,3.0,24.0,12.0,35.0,22.0,1.0,22.0,56.0,34.0,45.0,4.0,46.0,12.0,24.0,15.0,3.0,26.0,166,1.0,19.0,94,168.0,0.0
