words,"",2015,2016,4,abbas,arab,army,arrested,bank,boys,call,calls,children,city,conference,conflict,day,de,east,eu,first,flood,flooding,forces,france,french,gaza,greek,group,hamas,help,home,human,international,israel,israeli,israelipalestinian,israelpalestine,israels,jerusalem,jewish,justice,killed,la,land,latest,leader,man,media,meet,middle,minister,netanyahu,new,occupation,one,palestine,palestines,palestinian,palestinians,peace,police,president,propalestine,recognize,refugees,report,rights,sanders,says,school,shooting,shot,soccer,solidarity,solution,state,students,support,sushma,swaraj,syria,talks,team,texas,today,trump,two,uk,un,university,urges,us,violence,visit,war,week,west,woman,world
rights,20.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,2.0,5.0,2.0,4.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,13.0,1.0,0.0,1.0,121.0,11.0,36.0,23.0,2.0,3.0,10.0,4.0,4.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0,14.0,10.0,6.0,73,2.0,119.0,5.0,5.0,4.0,2.0,1.0,0.0,1.0,5.0,0.0,6.0,29.0,3.0,0.0,0.0,0.0,9.0,0.0,3.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,5.0,0.0,5.0,1.0,14.0,8.0,0.0,7.0,2.0,0.0,1.0,8.0,7.0,0.0,4.0
sanders,6.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,2.0,2.0,9.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,7.0,3.0,18,0.0,14.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0
says,35.0,0.0,3.0,0.0,5.0,2.0,2.0,1.0,8.0,0.0,0.0,1.0,3.0,5.0,1.0,3.0,0.0,11.0,17.0,0.0,2.0,10.0,1.0,1.0,4.0,0.0,2.0,0.0,10.0,5.0,0.0,7.0,22.0,20.0,28.0,17.0,0.0,0.0,5.0,6.0,6.0,1.0,8.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,5.0,10.0,2.0,8.0,4.0,6.0,109,0.0,52.0,12.0,5.0,8.0,11.0,0.0,0.0,0.0,2.0,29.0,1.0,0.0,7.0,0.0,4.0,1.0,1.0,1.0,14.0,1.0,4.0,0.0,0.0,2.0,1.0,1.0,14.0,2.0,3.0,2.0,0.0,8.0,6.0,0.0,5.0,1.0,2.0,4.0,1.0,7.0,11.0,8.0
school,45.0,5.0,3.0,1.0,0.0,4.0,0.0,10.0,8.0,9.0,0.0,1.0,10.0,5.0,2.0,6.0,9.0,0.0,24.0,0.0,7.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,10.0,0.0,2.0,1.0,1.0,15.0,9.0,9.0,3.0,0.0,1.0,1.0,3.0,12.0,2.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,4.0,0.0,0.0,18.0,2.0,24.0,155,1.0,24.0,2.0,1.0,28.0,1.0,2.0,0.0,0.0,3.0,3.0,0.0,7.0,0.0,30.0,8.0,10.0,0.0,1.0,10.0,28.0,2.0,0.0,0.0,1.0,0.0,10.0,14.0,0.0,0.0,4.0,1.0,2.0,3.0,0.0,1.0,2.0,5.0,0.0,6.0,8.0,1.0,2.0
shooting,19.0,8.0,2.0,0.0,0.0,1.0,1.0,18.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,4.0,17.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,22.0,38,0.0,21.0,2.0,0.0,36.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0
shot,41.0,19.0,6.0,0.0,0.0,2.0,9.0,2.0,22.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,4.0,0.0,18.0,0.0,2.0,0.0,2.0,36.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,4.0,86.0,0.0,0.0,0.0,15.0,6.0,1.0,20.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,10.0,32,0.0,97.0,17.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,8.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,9.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,26.0,24.0,0.0
soccer,14.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,72,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,36.0,3.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
solidarity,13.0,10.0,4.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,1.0,0.0,0.0,5.0,1.0,0.0,25.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,6.0,29.0,14.0,7.0,0.0,0.0,7.0,1.0,2.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0,0.0,14.0,3.0,1.0,98,0.0,58.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,2.0,4.0,5.0,0.0,7.0,0.0,0.0,0.0,5.0,4.0,3.0,2.0
solution,25.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,5.0,57.0,2.0,4.0,10.0,3.0,7.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,11.0,25.0,19.0,51.0,9.0,2.0,10.0,0.0,1.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,8.0,6.0,3.0,5.0,3.0,1.0,42,1.0,24.0,7.0,15.0,0.0,33.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,10.0,0.0,3.0,1.0,0.0,8.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0
state,94.0,13.0,18.0,2.0,50.0,17.0,1.0,1.0,9.0,11.0,4.0,1.0,1.0,7.0,22.0,14.0,8.0,7.0,30.0,1.0,29.0,0.0,0.0,6.0,20.0,16.0,9.0,37.0,13.0,5.0,2.0,3.0,2.0,26.0,83.0,44.0,12.0,8.0,7.0,14.0,21.0,3.0,2.0,0.0,11.0,3.0,17.0,1.0,6.0,8.0,11.0,48.0,8.0,32.0,3.0,7.0,291,3.0,203.0,27.0,40.0,5.0,69.0,0.0,47.0,3.0,0.0,3.0,2.0,14.0,10.0,1.0,0.0,10.0,1.0,15.0,0.0,5.0,17.0,5.0,5.0,2.0,14.0,9.0,11.0,9.0,2.0,37.0,0.0,13.0,3.0,4.0,37.0,7.0,23.0,4.0,15.0,14.0,0.0,3.0
students,21.0,7.0,4.0,0.0,0.0,4.0,2.0,1.0,9.0,0.0,0.0,2.0,0.0,9.0,3.0,7.0,4.0,1.0,3.0,0.0,11.0,0.0,0.0,6.0,0.0,0.0,4.0,0.0,21.0,0.0,1.0,1.0,2.0,6.0,15.0,16.0,1.0,3.0,1.0,3.0,13.0,74.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,17.0,0.0,9.0,115,5.0,35.0,3.0,7.0,2.0,7.0,6.0,0.0,2.0,2.0,2.0,0.0,1.0,28.0,0.0,1.0,0.0,7.0,0.0,5.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,10.0,1.0,0.0,35.0,0.0,1.0,3.0,3.0,1.0,9.0,7.0,0.0,2.0
support,46.0,9.0,16.0,1.0,7.0,1.0,1.0,0.0,5.0,0.0,3.0,1.0,6.0,8.0,6.0,4.0,6.0,0.0,6.0,4.0,2.0,0.0,1.0,1.0,3.0,6.0,6.0,1.0,10.0,1.0,3.0,1.0,2.0,21.0,25.0,13.0,5.0,3.0,3.0,10.0,3.0,2.0,0.0,0.0,3.0,1.0,8.0,0.0,1.0,0.0,2.0,16.0,0.0,15.0,4.0,4.0,109,2.0,106.0,7.0,12.0,2.0,10.0,2.0,0.0,16.0,0.0,6.0,0.0,4.0,2.0,0.0,0.0,1.0,8.0,7.0,17.0,3.0,0.0,4.0,4.0,3.0,2.0,2.0,5.0,5.0,2.0,5.0,0.0,3.0,3.0,0.0,9.0,1.0,9.0,0.0,1.0,5.0,0.0,11.0
sushma,16.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,59.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,88.0,5.0,20.0,0.0,1.0,80,1.0,14.0,0.0,3.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,4.0,0.0,87.0,0.0,5.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,65.0,0.0,0.0,24.0,0.0,0.0
swaraj,15.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,86.0,5.0,19.0,0.0,1.0,76,1.0,17.0,0.0,2.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,4.0,87.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,63.0,0.0,0.0,22.0,0.0,0.0
syria,14.0,3.0,6.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,2.0,11.0,1.0,0.0,5.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,3.0,43,0.0,16.0,3.0,0.0,1.0,5.0,0.0,1.0,20.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,7.0,2.0,3.0,0.0,3.0
talks,10.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,0.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,11.0,11.0,3.0,0.0,1.0,4.0,0.0,1.0,2.0,11.0,34.0,14.0,10.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0,5.0,26.0,3.0,7.0,2.0,0.0,32,1.0,46.0,7.0,41.0,2.0,5.0,0.0,5.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,0.0,2.0,5.0,5.0,3.0,0.0,1.0,0.0,4.0,1.0,8.0,0.0,4.0,0.0,0.0,6.0,3.0,5.0,0.0,2.0,5.0,0.0,2.0
team,49.0,5.0,8.0,2.0,0.0,1.0,0.0,0.0,6.0,40.0,1.0,1.0,2.0,2.0,1.0,0.0,8.0,0.0,14.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,13.0,1.0,5.0,101,10.0,16.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,1.0,0.0,36.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,4.0
texas,113.0,4.0,37.0,11.0,0.0,0.0,4.0,10.0,1.0,3.0,2.0,0.0,11.0,17.0,1.0,0.0,1.0,0.0,112.0,0.0,7.0,11.0,69.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1.0,26.0,0.0,26.0,7.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,207,3.0,1.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,14.0,14.0,6.0,14.0,3.0,1.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,10.0,0.0,0.0,3.0,0.0,7.0,0.0,0.0,0.0,9.0,3.0,55.0,0.0
today,22.0,32.0,67.0,2.0,1.0,4.0,6.0,11.0,23.0,0.0,1.0,0.0,0.0,15.0,2.0,9.0,2.0,0.0,100.0,0.0,7.0,0.0,0.0,18.0,0.0,1.0,9.0,0.0,12.0,1.0,0.0,2.0,3.0,94.0,31.0,35.0,5.0,0.0,14.0,4.0,2.0,1.0,1.0,1.0,3.0,6.0,0.0,0.0,92.0,0.0,95.0,15.0,0.0,6.0,3.0,3.0,172,2.0,51.0,5.0,7.0,1.0,8.0,0.0,0.0,6.0,3.0,5.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,4.0,9.0,1.0,5.0,5.0,5.0,0.0,4.0,0.0,3.0,0.0,3.0,4.0,1.0,5.0,3.0,0.0,4.0,20.0,5.0,0.0,0.0,25.0,3.0,7.0
trump,5.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,34.0,2.0,4.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,26,0.0,3.0,3.0,6.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
two,68.0,10.0,15.0,0.0,8.0,9.0,2.0,11.0,21.0,4.0,5.0,0.0,5.0,18.0,0.0,15.0,7.0,0.0,34.0,0.0,20.0,1.0,0.0,19.0,1.0,4.0,13.0,0.0,12.0,2.0,2.0,9.0,6.0,6.0,48.0,51.0,4.0,9.0,6.0,14.0,20.0,2.0,12.0,0.0,0.0,2.0,3.0,10.0,2.0,1.0,7.0,17.0,2.0,24.0,1.0,36.0,150,8.0,136.0,22.0,11.0,20.0,26.0,0.0,0.0,3.0,0.0,5.0,2.0,2.0,4.0,5.0,9.0,5.0,4.0,10.0,37.0,10.0,5.0,7.0,8.0,2.0,8.0,4.0,10.0,4.0,1.0,0.0,2.0,1.0,6.0,0.0,15.0,8.0,12.0,4.0,12.0,25.0,1.0,5.0
uk,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,10,1.0,11.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
un,48.0,4.0,9.0,0.0,12.0,7.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,5.0,8.0,6.0,27.0,19.0,0.0,5.0,0.0,0.0,0.0,4.0,3.0,8.0,0.0,1.0,3.0,1.0,2.0,13.0,18.0,28.0,20.0,3.0,0.0,7.0,5.0,3.0,0.0,0.0,19.0,5.0,6.0,1.0,0.0,0.0,0.0,11.0,6.0,0.0,18.0,8.0,3.0,91,5.0,78.0,3.0,12.0,0.0,13.0,0.0,1.0,15.0,3.0,14.0,0.0,8.0,2.0,0.0,0.0,0.0,4.0,3.0,13.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,5.0,3.0,4.0,5.0,3.0,1.0,3.0
university,24.0,2.0,15.0,0.0,0.0,4.0,2.0,0.0,8.0,1.0,1.0,0.0,0.0,7.0,1.0,5.0,2.0,1.0,5.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,4.0,0.0,17.0,0.0,1.0,0.0,5.0,2.0,10.0,14.0,3.0,4.0,1.0,3.0,7.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,6.0,0.0,12.0,0.0,5.0,67,5.0,32.0,4.0,3.0,2.0,8.0,3.0,0.0,0.0,0.0,8.0,0.0,6.0,3.0,0.0,4.0,1.0,5.0,1.0,3.0,35.0,3.0,6.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,8.0,0.0,1.0
urges,41.0,3.0,12.0,0.0,6.0,2.0,0.0,1.0,6.0,0.0,2.0,1.0,2.0,6.0,4.0,20.0,3.0,0.0,4.0,1.0,8.0,1.0,0.0,5.0,2.0,3.0,2.0,0.0,10.0,0.0,0.0,5.0,2.0,6.0,51.0,18.0,8.0,14.0,12.0,3.0,9.0,4.0,7.0,0.0,4.0,3.0,6.0,3.0,8.0,4.0,5.0,9.0,3.0,16.0,11.0,17.0,111,0.0,61.0,14.0,22.0,4.0,27.0,0.0,3.0,1.0,0.0,7.0,13.0,5.0,1.0,1.0,0.0,0.0,7.0,8.0,37.0,1.0,9.0,0.0,0.0,3.0,6.0,0.0,7.0,4.0,4.0,15.0,1.0,4.0,5.0,0.0,0.0,8.0,9.0,1.0,9.0,7.0,1.0,6.0
us,16.0,2.0,2.0,0.0,3.0,0.0,0.0,10.0,19.0,0.0,2.0,0.0,4.0,5.0,0.0,9.0,0.0,1.0,9.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,2.0,4.0,30.0,31.0,4.0,4.0,9.0,7.0,5.0,2.0,13.0,1.0,4.0,11.0,1.0,1.0,5.0,2.0,6.0,7.0,1.0,17.0,2.0,4.0,63,1.0,60.0,19.0,7.0,4.0,2.0,0.0,0.0,4.0,5.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,7.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,20.0,0.0,8.0,0.0,5.0,1.0,0.0,8.0,0.0,5.0,0.0,7.0,19.0,0.0,9.0
violence,35.0,4.0,12.0,1.0,25.0,3.0,0.0,1.0,8.0,0.0,1.0,1.0,0.0,10.0,0.0,4.0,9.0,1.0,10.0,0.0,26.0,0.0,0.0,0.0,0.0,2.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,4.0,84.0,15.0,2.0,7.0,2.0,12.0,0.0,2.0,7.0,1.0,1.0,2.0,5.0,1.0,1.0,7.0,4.0,91.0,9.0,26.0,1.0,7.0,150,2.0,68.0,7.0,10.0,0.0,52.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,9.0,65.0,63.0,2.0,5.0,0.0,0.0,5.0,0.0,12.0,1.0,3.0,1.0,0.0,9.0,5.0,0.0,0.0,8.0,32.0,0.0,0.0
visit,5.0,0.0,3.0,0.0,4.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,6.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,1.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,4.0,17.0,8.0,3.0,2.0,4.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,6.0,3.0,4.0,28,1.0,33.0,7.0,1.0,0.0,6.0,0.0,0.0,5.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,7.0
war,35.0,6.0,35.0,3.0,13.0,3.0,4.0,2.0,14.0,1.0,0.0,0.0,2.0,7.0,4.0,5.0,3.0,0.0,59.0,1.0,7.0,1.0,1.0,7.0,1.0,1.0,4.0,1.0,4.0,2.0,0.0,5.0,6.0,49.0,11.0,33.0,3.0,3.0,3.0,13.0,0.0,8.0,8.0,0.0,3.0,2.0,3.0,4.0,48.0,3.0,46.0,6.0,0.0,12.0,1.0,3.0,125,2.0,62.0,4.0,2.0,2.0,12.0,1.0,0.0,0.0,2.0,8.0,2.0,1.0,6.0,0.0,1.0,1.0,5.0,1.0,15.0,9.0,1.0,0.0,0.0,2.0,2.0,5.0,9.0,0.0,0.0,12.0,1.0,5.0,1.0,0.0,9.0,7.0,8.0,1.0,0.0,15.0,1.0,6.0
week,116.0,24.0,28.0,5.0,14.0,7.0,18.0,17.0,391.0,0.0,3.0,4.0,12.0,64.0,3.0,4.0,15.0,0.0,28.0,3.0,37.0,0.0,0.0,55.0,2.0,2.0,39.0,0.0,11.0,1.0,2.0,11.0,3.0,7.0,73.0,158.0,1.0,3.0,19.0,50.0,7.0,3.0,23.0,0.0,14.0,6.0,2.0,19.0,8.0,0.0,5.0,30.0,1.0,29.0,16.0,25.0,167,9.0,278.0,48.0,11.0,17.0,22.0,0.0,0.0,7.0,5.0,7.0,5.0,7.0,8.0,3.0,26.0,1.0,4.0,4.0,14.0,7.0,5.0,24.0,22.0,3.0,5.0,8.0,3.0,25.0,0.0,25.0,1.0,3.0,8.0,0.0,7.0,19.0,32.0,4.0,15.0,0.0,13.0,7.0
west,49.0,8.0,5.0,7.0,0.0,0.0,3.0,6.0,13.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,2.0,0.0,43.0,1.0,2.0,7.0,35.0,9.0,0.0,1.0,2.0,0.0,2.0,1.0,3.0,13.0,0.0,2.0,0.0,30.0,0.0,0.0,2.0,6.0,10.0,0.0,52.0,0.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,68,0.0,52.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,24.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0
woman,47.0,6.0,8.0,2.0,7.0,9.0,0.0,0.0,15.0,1.0,4.0,1.0,1.0,3.0,4.0,13.0,6.0,1.0,5.0,0.0,11.0,0.0,0.0,2.0,1.0,3.0,3.0,0.0,12.0,0.0,1.0,19.0,0.0,17.0,15.0,4.0,3.0,3.0,6.0,7.0,1.0,1.0,0.0,1.0,8.0,2.0,4.0,1.0,9.0,0.0,1.0,9.0,1.0,17.0,6.0,12.0,124,3.0,90.0,8.0,14.0,0.0,8.0,0.0,0.0,5.0,6.0,4.0,0.0,8.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,11.0,0.0,0.0,3.0,2.0,4.0,0.0,7.0,0.0,5.0,0.0,3.0,1.0,0.0,6.0,9.0,0.0,7.0,6.0,7.0,0.0,0.0
world,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8,0.0,5.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
