words,"",2016,action,address,administration,america,americans,attack,attacks,back,barack,bill,brexit,budget,calls,campaign,change,climate,clinton,congress,control,court,cruz,cuba,deal,donald,executive,fight,final,first,gop,gun,guns,help,hillary,hiroshima,historic,house,immigration,iran,isis,islamic,last,law,leaders,legacy,make,makes,meet,meeting,michelle,national,new,next,nominee,nuclear,obama,obamas,one,orlando,paris,pick,plan,plans,policy,president,republican,republicans,sanders,says,security,senate,shooting,show,signs,speech,state,summit,supreme,syria,take,tax,tells,terror,trade,trip,trudeau,trump,trumps,union,urges,us,visit,wants,war,watch,white,wont,world,year
says,191,24.0,9.0,27.0,75.0,12.0,27.0,15.0,4.0,8.0,512,13.0,2.0,7.0,11.0,28.0,14.0,15.0,28.0,25.0,8.0,29.0,7.0,9.0,18.0,73.0,15.0,14.0,12.0,37,12.0,13.0,6.0,27.0,37.0,5.0,5.0,144.0,12.0,13.0,14.0,35.0,19.0,23.0,15.0,2.0,18.0,5.0,22.0,9.0,10.0,45.0,67.0,36.0,25.0,19.0,816,93,26.0,11.0,6.0,4.0,12.0,16.0,9.0,669,32.0,22.0,10.0,0.0,37.0,21.0,22.0,21.0,0.0,14.0,53.0,17.0,31.0,21.0,23.0,3.0,2.0,8.0,18.0,7.0,2.0,62.0,17.0,10.0,1.0,174,35.0,16.0,7.0,2.0,145.0,16.0,26.0,31.0
security,117,22.0,15.0,18.0,54.0,7.0,25.0,9.0,41.0,2.0,426,6.0,0.0,10.0,2.0,26.0,17.0,18.0,9.0,7.0,1.0,2.0,7.0,5.0,8.0,16.0,7.0,26.0,17.0,25,7.0,5.0,0.0,20.0,12.0,1.0,5.0,93.0,8.0,11.0,25.0,55.0,38.0,9.0,45.0,2.0,16.0,2.0,35.0,84.0,0.0,278.0,46.0,24.0,2.0,99.0,601,96,25.0,11.0,17.0,1.0,9.0,6.0,21.0,543,11.0,9.0,4.0,37.0,0.0,4.0,13.0,7.0,0.0,9.0,76.0,98.0,1.0,18.0,5.0,1.0,2.0,10.0,10.0,15.0,1.0,13.0,8.0,5.0,1.0,207,27.0,5.0,11.0,0.0,90.0,12.0,41.0,25.0
senate,115,7.0,2.0,5.0,27.0,3.0,1.0,1.0,1.0,20.0,279,33.0,0.0,10.0,2.0,14.0,3.0,6.0,3.0,18.0,12.0,178.0,5.0,1.0,8.0,5.0,7.0,15.0,13.0,11,16.0,6.0,1.0,8.0,3.0,0.0,3.0,90.0,6.0,5.0,4.0,6.0,9.0,20.0,43.0,3.0,4.0,2.0,20.0,14.0,0.0,1.0,21.0,29.0,150.0,1.0,445,137,16.0,4.0,4.0,25.0,17.0,6.0,1.0,461,63.0,175.0,2.0,21.0,4.0,0.0,5.0,1.0,2.0,4.0,17.0,0.0,185.0,2.0,13.0,1.0,1.0,0.0,4.0,0.0,0.0,5.0,0.0,4.0,0.0,105,5.0,4.0,5.0,0.0,64.0,7.0,1.0,27.0
shooting,88,3.0,10.0,22.0,4.0,11.0,31.0,25.0,5.0,2.0,246,3.0,0.0,0.0,5.0,0.0,3.0,1.0,5.0,17.0,42.0,0.0,0.0,0.0,0.0,10.0,7.0,5.0,1.0,13,0.0,87.0,9.0,1.0,2.0,0.0,0.0,54.0,0.0,0.0,1.0,12.0,30.0,9.0,1.0,0.0,13.0,7.0,15.0,22.0,2.0,13.0,9.0,2.0,3.0,5.0,425,20,13.0,118.0,2.0,0.0,0.0,6.0,1.0,390,7.0,1.0,0.0,22.0,13.0,5.0,0.0,3.0,0.0,1.0,17.0,1.0,0.0,1.0,6.0,0.0,0.0,11.0,2.0,2.0,0.0,13.0,4.0,0.0,0.0,98,6.0,0.0,2.0,0.0,69.0,0.0,3.0,8.0
show,57,14.0,5.0,8.0,12.0,4.0,9.0,1.0,7.0,5.0,181,6.0,0.0,2.0,1.0,9.0,6.0,5.0,10.0,4.0,3.0,1.0,0.0,4.0,0.0,38.0,11.0,4.0,9.0,36,4.0,17.0,2.0,2.0,9.0,2.0,5.0,40.0,5.0,1.0,2.0,6.0,22.0,1.0,12.0,0.0,12.0,1.0,9.0,6.0,18.0,6.0,22.0,17.0,4.0,9.0,310,50,17.0,1.0,7.0,0.0,4.0,8.0,3.0,264,16.0,5.0,7.0,21.0,7.0,1.0,3.0,0.0,1.0,13.0,11.0,14.0,1.0,4.0,13.0,0.0,0.0,3.0,10.0,6.0,1.0,36.0,6.0,6.0,0.0,79,18.0,1.0,2.0,4.0,40.0,1.0,11.0,13.0
signs,7,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16,11.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,1.0,31,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,7,2.0,0.0,1.0,0.0,12.0,0.0,0.0,1.0
speech,98,24.0,11.0,47.0,15.0,20.0,17.0,5.0,8.0,12.0,289,0.0,1.0,1.0,2.0,20.0,9.0,8.0,15.0,25.0,15.0,2.0,6.0,7.0,3.0,47.0,11.0,11.0,82.0,55,2.0,26.0,2.0,3.0,12.0,22.0,19.0,56.0,3.0,0.0,11.0,36.0,49.0,7.0,10.0,10.0,12.0,4.0,3.0,8.0,18.0,22.0,32.0,19.0,7.0,9.0,460,184,40.0,2.0,9.0,1.0,5.0,6.0,12.0,460,37.0,3.0,1.0,14.0,9.0,4.0,1.0,13.0,0.0,0.0,117.0,15.0,1.0,2.0,10.0,1.0,0.0,5.0,6.0,14.0,1.0,49.0,11.0,92.0,0.0,105,41.0,0.0,10.0,5.0,53.0,2.0,20.0,15.0
state,348,53.0,21.0,413.0,135.0,41.0,76.0,15.0,72.0,22.0,955,7.0,0.0,15.0,10.0,90.0,44.0,39.0,105.0,57.0,12.0,12.0,10.0,20.0,9.0,36.0,12.0,138.0,306.0,132,7.0,23.0,3.0,60.0,110.0,1.0,15.0,200.0,2.0,24.0,56.0,568.0,122.0,20.0,61.0,21.0,27.0,11.0,23.0,54.0,55.0,81.0,91.0,46.0,6.0,18.0,1484,294,84.0,5.0,57.0,2.0,16.0,20.0,26.0,1378,62.0,25.0,9.0,53.0,76.0,17.0,17.0,11.0,2.0,117.0,0.0,47.0,10.0,135.0,26.0,0.0,0.0,31.0,21.0,13.0,44.0,42.0,3.0,490.0,3.0,357,87.0,18.0,44.0,8.0,188.0,6.0,36.0,69.0
summit,84,16.0,3.0,9.0,9.0,3.0,3.0,7.0,13.0,10.0,330,0.0,2.0,0.0,4.0,3.0,30.0,59.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,12.0,0.0,12.0,17.0,40,0.0,1.0,0.0,9.0,0.0,10.0,10.0,83.0,0.0,6.0,10.0,25.0,26.0,2.0,163.0,0.0,10.0,0.0,34.0,65.0,9.0,14.0,13.0,54.0,1.0,95.0,482,35,15.0,0.0,58.0,0.0,0.0,14.0,7.0,423,6.0,3.0,0.0,17.0,98.0,0.0,1.0,14.0,0.0,15.0,47.0,0.0,0.0,12.0,10.0,0.0,3.0,2.0,19.0,13.0,23.0,8.0,6.0,1.0,0.0,182,50.0,5.0,6.0,1.0,86.0,0.0,57.0,15.0
supreme,212,20.0,14.0,4.0,70.0,2.0,10.0,1.0,0.0,16.0,529,2.0,1.0,1.0,6.0,16.0,9.0,15.0,15.0,18.0,5.0,913.0,6.0,3.0,0.0,11.0,40.0,33.0,4.0,28,12.0,0.0,0.0,4.0,14.0,0.0,4.0,66.0,66.0,0.0,0.0,0.0,25.0,46.0,25.0,3.0,22.0,3.0,16.0,7.0,8.0,5.0,41.0,36.0,281.0,1.0,725,243,34.0,0.0,0.0,63.0,70.0,21.0,8.0,804,81.0,178.0,1.0,31.0,1.0,185.0,0.0,1.0,2.0,1.0,10.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,2.0,0.0,193,7.0,4.0,1.0,1.0,71.0,10.0,3.0,23.0
syria,86,1.0,5.0,6.0,46.0,6.0,5.0,0.0,13.0,9.0,220,2.0,1.0,0.0,3.0,29.0,8.0,11.0,1.0,1.0,1.0,0.0,2.0,0.0,6.0,0.0,0.0,39.0,1.0,5,2.0,0.0,0.0,21.0,2.0,0.0,0.0,34.0,0.0,9.0,49.0,130.0,8.0,0.0,10.0,1.0,13.0,2.0,6.0,25.0,0.0,11.0,18.0,7.0,0.0,4.0,363,44,11.0,1.0,20.0,0.0,10.0,10.0,22.0,308,2.0,1.0,0.0,21.0,18.0,2.0,1.0,4.0,0.0,2.0,135.0,12.0,0.0,0.0,10.0,0.0,0.0,5.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,184,9.0,6.0,63.0,0.0,34.0,3.0,6.0,4.0
take,64,17.0,52.0,16.0,25.0,7.0,16.0,1.0,3.0,15.0,228,5.0,3.0,3.0,2.0,9.0,10.0,14.0,12.0,27.0,25.0,18.0,1.0,12.0,19.0,15.0,32.0,12.0,14.0,29,6.0,55.0,21.0,4.0,12.0,6.0,9.0,68.0,4.0,5.0,7.0,18.0,15.0,6.0,15.0,0.0,18.0,1.0,26.0,17.0,8.0,11.0,54.0,21.0,5.0,11.0,386,56,23.0,6.0,8.0,0.0,9.0,18.0,4.0,312,15.0,14.0,3.0,23.0,5.0,13.0,6.0,13.0,0.0,10.0,26.0,10.0,13.0,10.0,0.0,4.0,0.0,5.0,22.0,13.0,0.0,16.0,2.0,14.0,0.0,94,26.0,9.0,13.0,3.0,65.0,6.0,12.0,15.0
tax,33,10.0,4.0,2.0,26.0,0.0,1.0,2.0,0.0,1.0,96,5.0,0.0,37.0,2.0,0.0,0.0,0.0,0.0,43.0,1.0,0.0,0.0,0.0,4.0,2.0,3.0,7.0,19.0,7,0.0,0.0,0.0,18.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,12.0,7.0,1.0,2.0,6.0,0.0,0.0,0.0,3.0,0.0,42.0,11.0,0.0,0.0,172,30,11.0,0.0,0.0,0.0,12.0,8.0,8.0,147,9.0,4.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,43,0.0,8.0,0.0,0.0,25.0,2.0,1.0,13.0
tells,5,2.0,0.0,0.0,6.0,0.0,2.0,1.0,1.0,1.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,3,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,45,4,6.0,1.0,1.0,0.0,1.0,0.0,1.0,35,5.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,14,2.0,1.0,0.0,0.0,1.0,0.0,5.0,2.0
terror,27,2.0,2.0,26.0,9.0,3.0,22.0,51.0,70.0,6.0,112,1.0,0.0,0.0,3.0,3.0,3.0,3.0,0.0,2.0,3.0,0.0,4.0,7.0,0.0,11.0,1.0,13.0,2.0,2,2.0,4.0,3.0,4.0,1.0,0.0,1.0,14.0,0.0,2.0,30.0,32.0,10.0,5.0,9.0,4.0,6.0,1.0,5.0,5.0,0.0,6.0,12.0,2.0,0.0,2.0,212,33,9.0,16.0,32.0,0.0,5.0,7.0,3.0,207,12.0,6.0,0.0,8.0,10.0,0.0,11.0,3.0,0.0,5.0,31.0,2.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,9.0,0.0,9.0,3.0,5.0,0.0,56,3.0,0.0,21.0,5.0,19.0,2.0,12.0,2.0
trade,91,10.0,4.0,3.0,36.0,7.0,1.0,2.0,0.0,38.0,238,16.0,9.0,0.0,1.0,8.0,9.0,13.0,7.0,33.0,1.0,3.0,1.0,27.0,98.0,24.0,3.0,7.0,10.0,10,1.0,0.0,2.0,14.0,8.0,0.0,5.0,41.0,15.0,7.0,2.0,10.0,10.0,16.0,23.0,2.0,11.0,1.0,12.0,8.0,0.0,8.0,64.0,11.0,2.0,3.0,336,48,16.0,0.0,3.0,0.0,0.0,5.0,4.0,298,8.0,3.0,3.0,18.0,10.0,4.0,2.0,10.0,2.0,6.0,21.0,19.0,0.0,3.0,22.0,3.0,1.0,0.0,0.0,10.0,12.0,10.0,17.0,34.0,0.0,155,31.0,4.0,1.0,0.0,42.0,1.0,2.0,15.0
trip,92,12.0,1.0,5.0,14.0,13.0,13.0,5.0,17.0,12.0,273,0.0,0.0,0.0,2.0,9.0,16.0,9.0,0.0,3.0,0.0,6.0,3.0,124.0,0.0,6.0,2.0,2.0,18.0,91,0.0,0.0,0.0,7.0,0.0,29.0,83.0,70.0,1.0,1.0,8.0,10.0,33.0,1.0,19.0,4.0,29.0,4.0,26.0,17.0,25.0,12.0,20.0,40.0,2.0,10.0,374,118,34.0,0.0,13.0,2.0,5.0,11.0,9.0,379,14.0,1.0,0.0,7.0,15.0,0.0,2.0,6.0,0.0,14.0,13.0,13.0,6.0,7.0,13.0,0.0,0.0,9.0,10.0,0.0,2.0,4.0,3.0,8.0,0.0,135,101.0,0.0,19.0,2.0,66.0,2.0,14.0,12.0
trudeau,28,10.0,1.0,4.0,2.0,0.0,0.0,1.0,1.0,1.0,139,0.0,0.0,0.0,0.0,0.0,21.0,26.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,23,1.0,1.0,1.0,0.0,0.0,0.0,1.0,48.0,0.0,0.0,1.0,1.0,4.0,0.0,10.0,3.0,2.0,0.0,4.0,17.0,7.0,0.0,14.0,7.0,0.0,2.0,184,11,11.0,0.0,0.0,0.0,2.0,3.0,3.0,158,3.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,44.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,2.0,0.0,0.0,0.0,68,26.0,0.0,0.0,0.0,48.0,0.0,0.0,2.0
trump,154,39.0,7.0,26.0,27.0,19.0,12.0,25.0,18.0,31.0,417,7.0,4.0,1.0,8.0,102.0,9.0,12.0,96.0,4.0,11.0,7.0,47.0,2.0,10.0,823.0,19.0,5.0,21.0,40,88.0,17.0,7.0,11.0,90.0,1.0,3.0,68.0,8.0,11.0,13.0,22.0,24.0,0.0,39.0,9.0,11.0,1.0,3.0,12.0,12.0,19.0,41.0,17.0,107.0,17.0,823,126,47.0,23.0,1.0,0.0,7.0,5.0,18.0,694,339.0,36.0,24.0,62.0,13.0,5.0,13.0,36.0,1.0,49.0,42.0,8.0,6.0,0.0,16.0,2.0,6.0,9.0,10.0,4.0,2.0,0.0,31.0,25.0,1.0,106,11.0,6.0,4.0,3.0,65.0,13.0,40.0,8.0
trumps,35,9.0,1.0,2.0,6.0,9.0,2.0,2.0,5.0,5.0,105,1.0,1.0,0.0,6.0,27.0,2.0,0.0,17.0,0.0,1.0,0.0,2.0,0.0,0.0,180.0,1.0,3.0,1.0,8,15.0,0.0,0.0,2.0,22.0,0.0,1.0,16.0,17.0,0.0,0.0,1.0,14.0,0.0,5.0,2.0,8.0,1.0,0.0,4.0,1.0,5.0,12.0,0.0,14.0,14.0,197,28,10.0,6.0,0.0,0.0,4.0,3.0,12.0,163,55.0,8.0,1.0,17.0,8.0,0.0,4.0,6.0,0.0,11.0,3.0,6.0,0.0,0.0,2.0,1.0,1.0,3.0,17.0,3.0,0.0,31.0,0.0,2.0,0.0,35,0.0,2.0,0.0,0.0,13.0,2.0,11.0,1.0
union,121,28.0,3.0,371.0,22.0,13.0,36.0,0.0,1.0,24.0,412,1.0,22.0,2.0,3.0,21.0,14.0,5.0,1.0,46.0,3.0,2.0,4.0,1.0,18.0,25.0,2.0,6.0,277.0,47,2.0,6.0,0.0,2.0,1.0,0.0,7.0,51.0,2.0,2.0,7.0,9.0,89.0,1.0,8.0,12.0,27.0,4.0,3.0,2.0,17.0,15.0,23.0,30.0,2.0,0.0,566,162,43.0,0.0,0.0,0.0,1.0,9.0,6.0,581,28.0,12.0,1.0,10.0,5.0,4.0,0.0,6.0,1.0,92.0,490.0,1.0,2.0,0.0,14.0,0.0,0.0,5.0,34.0,8.0,0.0,25.0,2.0,0.0,0.0,159,36.0,3.0,2.0,5.0,39.0,3.0,15.0,41.0
urges,3,1.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,16,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4,0.0,0.0,1.0,0.0,4.0,0.0,1.0,1.0
us,867,123.0,63.0,144.0,334.0,78.0,138.0,106.0,99.0,96.0,3586,51.0,26.0,54.0,40.0,125.0,117.0,121.0,42.0,161.0,65.0,213.0,24.0,206.0,95.0,133.0,83.0,123.0,127.0,485,15.0,116.0,20.0,120.0,44.0,170.0,132.0,575.0,56.0,65.0,65.0,221.0,182.0,83.0,205.0,24.0,179.0,30.0,120.0,201.0,79.0,156.0,315.0,213.0,78.0,149.0,4298,513,180.0,38.0,126.0,17.0,121.0,56.0,113.0,4049,150.0,67.0,24.0,174.0,207.0,105.0,98.0,79.0,7.0,105.0,357.0,182.0,193.0,184.0,94.0,43.0,14.0,56.0,155.0,135.0,68.0,106.0,35.0,159.0,4.0,0,541.0,29.0,163.0,12.0,547.0,20.0,193.0,162.0
visit,294,21.0,2.0,25.0,27.0,20.0,20.0,45.0,22.0,22.0,887,1.0,10.0,1.0,1.0,33.0,23.0,17.0,5.0,1.0,2.0,10.0,1.0,189.0,13.0,13.0,2.0,20.0,41.0,417,1.0,2.0,1.0,22.0,6.0,221.0,172.0,181.0,0.0,10.0,15.0,64.0,79.0,6.0,61.0,9.0,81.0,14.0,40.0,28.0,22.0,50.0,47.0,128.0,7.0,66.0,1109,317,63.0,7.0,19.0,0.0,7.0,37.0,24.0,1157,16.0,1.0,1.0,35.0,27.0,5.0,6.0,18.0,2.0,41.0,87.0,50.0,7.0,9.0,26.0,0.0,2.0,3.0,31.0,101.0,26.0,11.0,0.0,36.0,0.0,541,0.0,11.0,76.0,1.0,181.0,6.0,66.0,35.0
wants,44,6.0,9.0,2.0,25.0,3.0,5.0,0.0,2.0,5.0,97,1.0,0.0,4.0,0.0,3.0,23.0,18.0,6.0,9.0,5.0,5.0,1.0,10.0,7.0,4.0,2.0,12.0,6.0,17,3.0,10.0,4.0,21.0,7.0,0.0,3.0,20.0,1.0,4.0,2.0,6.0,6.0,4.0,6.0,9.0,5.0,0.0,6.0,2.0,1.0,4.0,19.0,6.0,3.0,1.0,198,13,9.0,0.0,12.0,2.0,1.0,1.0,2.0,149,6.0,2.0,3.0,16.0,5.0,4.0,0.0,1.0,0.0,0.0,18.0,5.0,4.0,6.0,9.0,8.0,1.0,0.0,4.0,0.0,0.0,6.0,2.0,3.0,0.0,29,11.0,0.0,3.0,1.0,18.0,1.0,4.0,4.0
war,84,5.0,3.0,11.0,35.0,12.0,15.0,3.0,9.0,9.0,219,8.0,0.0,6.0,3.0,14.0,5.0,9.0,3.0,20.0,0.0,1.0,3.0,31.0,2.0,2.0,2.0,13.0,10.0,48,3.0,1.0,1.0,23.0,4.0,41.0,34.0,34.0,0.0,2.0,27.0,41.0,31.0,7.0,10.0,3.0,10.0,2.0,5.0,10.0,3.0,10.0,15.0,16.0,0.0,18.0,359,61,24.0,1.0,16.0,1.0,10.0,9.0,14.0,318,5.0,3.0,0.0,7.0,11.0,5.0,2.0,2.0,1.0,10.0,44.0,6.0,1.0,63.0,13.0,0.0,0.0,21.0,1.0,19.0,0.0,4.0,0.0,2.0,1.0,163,76.0,3.0,0.0,4.0,34.0,4.0,68.0,13.0
watch,14,2.0,0.0,7.0,2.0,3.0,7.0,3.0,0.0,1.0,56,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,9.0,7.0,1.0,0.0,2.0,0.0,2.0,4.0,0.0,8.0,9,0.0,4.0,2.0,1.0,1.0,0.0,2.0,11.0,0.0,1.0,0.0,2.0,7.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,8.0,2.0,3.0,3.0,0.0,0.0,96,20,13.0,0.0,0.0,0.0,1.0,0.0,2.0,78,2.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,5.0,8.0,1.0,1.0,0.0,3.0,0.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,5.0,0.0,12,1.0,1.0,4.0,0.0,10.0,0.0,0.0,7.0
white,466,127.0,21.0,96.0,83.0,25.0,46.0,20.0,37.0,32.0,1590,34.0,0.0,61.0,6.0,72.0,40.0,51.0,70.0,72.0,44.0,78.0,7.0,32.0,19.0,68.0,65.0,53.0,136.0,261,19.0,68.0,11.0,42.0,78.0,34.0,25.0,2521.0,8.0,21.0,18.0,63.0,154.0,31.0,121.0,22.0,77.0,15.0,137.0,159.0,117.0,106.0,152.0,133.0,45.0,43.0,2412,274,143.0,36.0,43.0,16.0,43.0,56.0,33.0,2128,80.0,66.0,55.0,145.0,90.0,64.0,69.0,40.0,12.0,53.0,188.0,86.0,71.0,34.0,65.0,25.0,1.0,19.0,42.0,66.0,48.0,65.0,13.0,39.0,4.0,547,181.0,18.0,34.0,10.0,0.0,14.0,37.0,135.0
wont,29,10.0,4.0,2.0,7.0,0.0,15.0,2.0,5.0,4.0,74,3.0,1.0,3.0,2.0,5.0,6.0,2.0,4.0,5.0,3.0,10.0,3.0,3.0,2.0,11.0,5.0,8.0,4.0,13,7.0,7.0,5.0,6.0,4.0,2.0,1.0,16.0,1.0,2.0,5.0,5.0,8.0,2.0,8.0,1.0,7.0,0.0,5.0,2.0,7.0,15.0,3.0,4.0,7.0,4.0,142,17,8.0,1.0,3.0,0.0,3.0,2.0,0.0,118,18.0,11.0,4.0,16.0,12.0,7.0,0.0,1.0,0.0,2.0,6.0,0.0,10.0,3.0,6.0,2.0,0.0,2.0,1.0,2.0,0.0,13.0,2.0,3.0,0.0,20,6.0,1.0,4.0,0.0,14.0,0.0,12.0,2.0
world,130,14.0,7.0,23.0,12.0,27.0,17.0,24.0,27.0,13.0,413,12.0,2.0,4.0,8.0,13.0,52.0,50.0,5.0,5.0,2.0,2.0,2.0,4.0,17.0,40.0,1.0,19.0,18.0,80,6.0,2.0,2.0,4.0,3.0,56.0,22.0,36.0,1.0,11.0,18.0,26.0,26.0,9.0,127.0,6.0,13.0,4.0,7.0,9.0,19.0,8.0,26.0,22.0,11.0,99.0,603,69,40.0,3.0,64.0,1.0,3.0,4.0,22.0,529,21.0,2.0,3.0,26.0,41.0,1.0,3.0,11.0,0.0,20.0,36.0,57.0,3.0,6.0,12.0,1.0,5.0,12.0,2.0,14.0,0.0,40.0,11.0,15.0,1.0,193,66.0,4.0,68.0,0.0,37.0,12.0,0.0,15.0
year,175,37.0,20.0,40.0,97.0,17.0,12.0,4.0,9.0,10.0,451,6.0,0.0,66.0,5.0,18.0,18.0,16.0,9.0,50.0,21.0,25.0,0.0,26.0,24.0,7.0,37.0,9.0,188.0,75,8.0,36.0,5.0,13.0,10.0,4.0,5.0,142.0,13.0,20.0,7.0,21.0,194.0,14.0,37.0,19.0,23.0,3.0,29.0,10.0,24.0,35.0,87.0,100.0,12.0,19.0,738,146,62.0,0.0,11.0,5.0,36.0,18.0,26.0,633,40.0,21.0,3.0,31.0,25.0,27.0,8.0,13.0,1.0,15.0,69.0,15.0,23.0,4.0,15.0,13.0,2.0,2.0,15.0,12.0,2.0,8.0,1.0,41.0,1.0,162,35.0,4.0,13.0,7.0,135.0,2.0,15.0,0.0
